display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
Kapitalo Zeta,Multimercados,True,12.105.992/0001-09,Kapitalo,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Mar Absoluto,Multimercados,True,32.397.723/0001-62,Mar Asset,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Vista Multiestratégia,Multimercados,True,21.646.715/0001-96,Vista Capital,matched,,Vista Multi,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Truxt I Macro,Multimercados,True,26.277.600/0001-95,Truxt Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Bahia Maraú,Multimercados,True,17.087.932/0001-16,Bahia Asset,matched,Corrected: was 09.480.816/0001-34 (Cíclotron FIM IE offshore equity fund),Bahia AM Maraú,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Kapitalo Kappa,Multimercados,True,26.978.187/0001-96,Kapitalo,,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Guepardo,Long Only,True,06.035.405/0001-41,Guepardo Investimentos,matched,,Guepardo FIC FIA,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open per manual review (funds_subscription_status.xlsx); note: CVM legacy cad_fi shows SIT=CANCELADA for this CNPJ — fund likely migrated to a new legal vehicle or continues under a different registration
SPX Patriot,Long Only,True,15.334.585/0001-53,SPX Capital,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Charles River Ações,Long Only,True,14.438.229/0001-17,Charles River,matched,,Charles River FIF Ações,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Itaú Smart Ações Brasil 50,Long Only,True,35.110.510/0001-04,Itaú Asset,matched,,Itau Smart Ações Brasil 50,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Real Investor Ações,Long Only,True,10.500.884/0001-05,Real Investor,matched,,Real Investor Resp LTDA FIF CIC Ações,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Opportunity Lógica,Long Only,True,00.185.259/0001-54,Opportunity,matched,,Opportunity Logica,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Kapitalo Tarkus,Long Only,True,28.747.685/0001-53,Kapitalo,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Opportunity Selection,Long Only,True,13.106.983/0001-97,Opportunity,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
